epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
103,699.901,1.42966,0.53792,0.00204,0.92774,0.84048,0.93187,0.41679,1.89002,0.73356,0.00338,0.000901776,0.000901776,0.000901776
104,704.878,1.42729,0.50599,0.00204,0.91772,0.85757,0.93026,0.4127,1.86226,0.70387,0.00333,0.000899908,0.000899908,0.000899908
105,709.627,1.41303,0.54503,0.00188,0.92643,0.86111,0.93858,0.42093,1.86479,0.68316,0.00336,0.000898025,0.000898025,0.000898025
106,714.493,1.44218,0.53191,0.00208,0.85033,0.91731,0.94332,0.43431,1.89623,0.72493,0.00337,0.000896127,0.000896127,0.000896127
107,720.767,1.45148,0.57458,0.00214,0.91484,0.89271,0.94588,0.46045,1.85436,0.69247,0.00327,0.000894213,0.000894213,0.000894213
108,726.066,1.45217,0.54965,0.00214,0.91409,0.87719,0.94752,0.46332,1.85892,0.67967,0.00329,0.000892283,0.000892283,0.000892283
109,731.41,1.34362,0.47855,0.00206,0.94147,0.90359,0.95831,0.43274,1.86546,0.68807,0.0033,0.000890339,0.000890339,0.000890339
110,736.685,1.38575,0.50785,0.00197,0.93667,0.87381,0.95151,0.4301,1.84134,0.71927,0.00327,0.000888379,0.000888379,0.000888379
111,742.461,1.3416,0.4899,0.00192,0.84863,0.94336,0.95257,0.44591,1.80979,0.71999,0.0032,0.000886404,0.000886404,0.000886404
112,748.025,1.44102,0.5033,0.00198,0.87099,0.93095,0.95526,0.42501,1.87439,0.75347,0.00334,0.000884414,0.000884414,0.000884414
113,753.893,1.36873,0.47708,0.00197,0.9123,0.92398,0.9526,0.43729,1.86357,0.68555,0.0033,0.000882409,0.000882409,0.000882409
114,760.186,1.3898,0.49085,0.0019,0.93157,0.89762,0.95283,0.43624,1.82462,0.65707,0.00325,0.000880389,0.000880389,0.000880389
115,765.387,1.39487,0.48733,0.00214,0.87985,0.92622,0.94518,0.41973,1.93122,0.70614,0.00347,0.000878354,0.000878354,0.000878354
116,770.607,1.37822,0.4698,0.00196,0.86812,0.93433,0.94881,0.43535,1.91241,0.72275,0.00341,0.000876305,0.000876305,0.000876305
117,777.688,1.3606,0.52373,0.00201,0.86193,0.94525,0.9557,0.44709,1.86412,0.75597,0.00332,0.000874241,0.000874241,0.000874241
118,782.907,1.36217,0.53145,0.0019,0.85962,0.93368,0.94543,0.43185,1.85186,0.80142,0.00327,0.000872162,0.000872162,0.000872162
119,787.79,1.41387,0.49377,0.00206,0.87887,0.94015,0.93992,0.43272,1.85667,0.69286,0.00329,0.000870069,0.000870069,0.000870069
120,792.995,1.39115,0.48114,0.00204,0.94265,0.94099,0.97366,0.4581,1.82285,0.63425,0.00322,0.000867961,0.000867961,0.000867961
121,799.325,1.39344,0.52976,0.00194,0.9382,0.89841,0.93909,0.4449,1.83615,0.73815,0.00324,0.000865839,0.000865839,0.000865839
122,804.283,1.32798,0.49428,0.00192,0.94339,0.8627,0.93605,0.41621,1.92174,0.82336,0.00339,0.000863703,0.000863703,0.000863703
123,811.054,1.31982,0.48623,0.00177,0.92315,0.91428,0.94105,0.41151,1.89429,0.76017,0.00332,0.000861553,0.000861553,0.000861553
124,817.6,1.36593,0.50208,0.00191,0.9032,0.90446,0.9552,0.41858,1.90339,0.71961,0.00335,0.000859389,0.000859389,0.000859389
125,824.122,1.32216,0.49043,0.00187,0.90758,0.89629,0.95351,0.41841,1.92164,0.7368,0.00339,0.00085721,0.00085721,0.00085721
126,828.997,1.36931,0.58261,0.00188,0.91318,0.88651,0.93945,0.41568,1.90281,0.7517,0.00337,0.000855018,0.000855018,0.000855018
127,834.141,1.32319,0.49082,0.00213,0.91078,0.89577,0.93985,0.4205,1.95864,0.70219,0.00347,0.000852812,0.000852812,0.000852812
128,838.533,1.40866,0.56575,0.00187,0.88717,0.87303,0.93266,0.43429,1.88738,0.73802,0.00335,0.000850592,0.000850592,0.000850592
129,842.866,1.33692,0.502,0.00187,0.88761,0.89683,0.95674,0.44201,1.86577,0.72985,0.00334,0.000848358,0.000848358,0.000848358
130,847.575,1.35669,0.49611,0.00181,0.86935,0.90952,0.9503,0.43596,1.85916,0.80914,0.00325,0.000846111,0.000846111,0.000846111
131,857.074,1.32345,0.49248,0.00207,0.87049,0.89762,0.93263,0.43911,1.82036,0.77146,0.00321,0.000843851,0.000843851,0.000843851
132,861.78,1.27127,0.44031,0.00189,0.89248,0.89744,0.91891,0.4238,1.83103,0.75746,0.00326,0.000841577,0.000841577,0.000841577
133,866.955,1.38711,0.49349,0.00189,0.91087,0.87435,0.93376,0.43723,1.82061,0.70161,0.00322,0.00083929,0.00083929,0.00083929
134,871.589,1.33759,0.48786,0.00185,0.91658,0.91869,0.94444,0.41695,1.91599,0.69538,0.00348,0.000836989,0.000836989,0.000836989
135,877.553,1.40741,0.46654,0.00194,0.91594,0.94062,0.95721,0.41407,1.91195,0.66226,0.00345,0.000834676,0.000834676,0.000834676
136,882.833,1.4077,0.50913,0.00195,0.90136,0.91908,0.93936,0.41703,1.89237,0.72408,0.0034,0.000832349,0.000832349,0.000832349
137,887.893,1.25918,0.44506,0.00179,0.90602,0.88244,0.93907,0.41089,1.90155,0.75425,0.0034,0.00083001,0.00083001,0.00083001
138,893.066,1.23978,0.42274,0.00183,0.89488,0.85322,0.93277,0.40108,1.95227,0.76777,0.00349,0.000827658,0.000827658,0.000827658
139,900.229,1.28873,0.464,0.00188,0.88064,0.82087,0.91548,0.4164,1.92505,0.74821,0.00344,0.000825293,0.000825293,0.000825293
140,905.875,1.34565,0.50548,0.00182,0.88753,0.918,0.96025,0.42927,1.87265,0.75409,0.00334,0.000822915,0.000822915,0.000822915
141,910.953,1.28856,0.46568,0.00187,0.9173,0.86712,0.94266,0.44691,1.83237,0.71772,0.00324,0.000820525,0.000820525,0.000820525
142,915.984,1.30002,0.4538,0.00181,0.91293,0.91183,0.95163,0.45271,1.89462,0.64095,0.00334,0.000818122,0.000818122,0.000818122
143,920.618,1.26577,0.43883,0.00192,0.91941,0.93702,0.95418,0.45315,1.8553,0.63754,0.00329,0.000815707,0.000815707,0.000815707
144,926.016,1.28434,0.41183,0.00187,0.92613,0.90055,0.96245,0.42223,1.95174,0.69842,0.00347,0.00081328,0.00081328,0.00081328
145,930.765,1.35366,0.48632,0.00191,0.9269,0.92343,0.97202,0.43358,1.94297,0.62916,0.00348,0.000810841,0.000810841,0.000810841
